StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prolificID,SE1,public_CSE1,private_CSE1,BMIS_sad_1,BMIS_shame_1,BMIS_guilt_1,BMIS_tired_1,BMIS_nervous_1,BMIS_calm_1,BMIS_fedup_1,BMIS_loving_1,BMIS_angry_1,BMIS_lively_1,BMIS_caring_1,BMIS_content_1,BMIS_gloomy_1,BMIS_jittery_1,BMIS_drowsy_1,BMIS_happy_1,BMIS_outraged_1,BMIS_empathetic_18,attentioncheck_nogap,article_feel,article_sentiment,article_tone,BMIS_sad_2,BMIS_shame_2,BMIS_guilt_2,BMIS_tired_2,BMIS_nervous_2,BMIS_calm_2,BMIS_fedup_2,BMIS_loving_2,BMIS_angry_2,BMIS_lively_2,BMIS_caring_2,BMIS_content_2,BMIS_gloomy_2,BMIS_jittery_2,BMIS_drowsy_2,BMIS_happy_2,BMIS_outraged_2,BMIS_empathetic_2,SE_2,public_CSE2,private_CSE1,credibility,objective,valid,useful,attentioncheck_gap,control_summary,age,race,education,polit_affil,polit_affil_4_TEXT,polit_affil_cont_1,gender,gender_4_TEXT,iat_prev,iat_racial,iat_racial_time,iat_racial_quant,recent_results,control,nogap,gap
2024-01-12 14:07:09,2024-01-12 14:17:25,0,100,616,1,2024-01-12 14:17:26,R_6fYylJBDwMEA2eR,anonymous,EN,2,60fef1f87e50bd7f55933f00,3,5,1,2,1,1,3,2,3,1,3,1,1,4,2,3,1,3,2,1,4,,2,15,2,2,1,1,3,2,3,1,4,1,1,4,2,3,1,2,2,1,4,3,5,1,4,4,4,2,,There is a significant difference in wealth between rural and non rural areas. Some of these differences are from lack of economic initiative and some are from changing costs of living. The government takes step to encourage economic growth in some of these areas.,26,1,3,1,,6,2,,21,,,,,0,,
2024-01-12 14:15:18,2024-01-12 14:19:42,0,100,264,1,2024-01-12 14:19:43,R_6hKkgD5gyxjWJnt,anonymous,EN,2,62743aeb9ef8628d06ec5a75,2,3,2,3,3,3,2,3,3,4,2,3,2,3,2,4,2,2,2,2,3,"White and black adults age 65+ have similar incomes, both high school and college educated.",4,16,3,3,3,3,2,2,3,3,2,2,2,3,1,4,2,2,1,2,2,2,3,2,2,3,3,3,,,53,1,5,2,,3,1,,21,,,,,,1,
2024-01-12 14:14:29,2024-01-12 14:20:27,0,100,358,1,2024-01-12 14:20:28,R_6ozuGO0xP14XiI9,anonymous,EN,2,63d59b52111ca1095779494b,3,3,3,2,1,1,2,1,3,1,2,1,2,2,3,1,1,1,3,1,2,,2,14,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,5,5,4,4,"There is great economic disparity between whites and blacks in many different areas of the economy and situations.This includes home equity, savings amounts, and income.",,34,1,6,2,,2,2,,21,,,,,,,2
2024-01-12 14:18:30,2024-01-12 14:21:27,0,100,176,1,2024-01-12 14:21:27,R_5OpwF4oMGOSdFaV,anonymous,EN,2,5e3f6103f5f3e51c95083a52,3,3,3,2,2,2,2,2,3,1,2,2,2,2,2,3,2,3,2,2,2,,2,14,2,2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,3,6,4,5,5,,there is a wide gap between salaries in the nation depending on location. Pay is becoming worse over the years.,36,1,5,5,,4,1,,21,,,,,0,,
2024-01-12 14:26:16,2024-01-12 14:26:28,0,100,12,1,2024-01-12 14:26:29,R_7vj4vIGPN7YU83L,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:27:26,2024-01-12 14:27:36,0,100,9,1,2024-01-12 14:27:36,R_3dGvXAi7lU358qN,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:24:33,2024-01-12 14:28:18,0,100,224,1,2024-01-12 14:28:18,R_1iWsbBn3qaqjmCO,anonymous,EN,2,600cff71c2b8b6481b27bff4,3,2,5,1,1,1,1,1,4,1,3,1,3,4,4,1,1,3,3,1,4,"Giving people the opportunity to pursue higher education leads to better outcomes for everyone, as well as society as a whole. ",4,16,4,1,1,1,1,1,3,1,3,1,1,3,3,1,1,1,3,1,3,3,1,5,5,5,5,5,,,29,1,2,2,,0,3,,21,,,,,,1,
2024-01-12 14:25:44,2024-01-12 14:28:23,0,100,158,1,2024-01-12 14:28:23,R_6VfklqnXzqzQo0y,anonymous,EN,2,5f3f22388550032138c461ef,1,4,1,3,3,3,3,3,2,3,2,2,1,3,1,3,2,3,1,2,3,,2,15,2,3,3,3,3,3,2,2,2,2,2,3,2,3,2,3,2,2,3,1,4,1,4,4,4,4,The article was about housing inequality.  It had statistics to back it up.,,37,1,2,1,,5,2,,21,,,,,,,2
2024-01-12 14:29:42,2024-01-12 14:29:53,0,100,11,1,2024-01-12 14:29:54,R_7QRS8X75QlSzwRw,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:35:17,2024-01-12 14:35:20,0,100,2,1,2024-01-12 14:35:20,R_7OlTcrkHAi0D5Xr,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:35:23,2024-01-12 14:35:35,0,100,11,1,2024-01-12 14:35:35,R_5FydjEGKlv1BH25,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:35:33,2024-01-12 14:35:45,8,100,12,1,2024-01-12 14:35:46,R_3tm9cgDeHv2n1Py,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:37:03,2024-01-12 14:37:05,8,100,2,1,2024-01-12 14:37:06,R_7sc2Q9uKvkXrEFh,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:38:32,2024-01-12 14:38:34,0,100,2,1,2024-01-12 14:38:34,R_39nLD5VFJzImhSW,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:36:34,2024-01-12 14:40:49,0,100,254,1,2024-01-12 14:40:50,R_3M53xjIk2tTVzk5,anonymous,EN,2,5bebbb9694bff800011dc37c,3,3,1,2,2,2,3,1,4,3,3,1,3,3,3,2,1,1,3,1,3,,2,14,1,2,2,2,3,1,3,2,2,2,2,3,3,1,1,2,3,2,3,3,3,1,4,4,5,5,A research study found disaparities between Black and White individuals/family. A white individual/family with a college degree had more equity than someone of black race with same education. ,,37,1,5,2,,4,2,,21,,,,,,,2
2024-01-12 14:35:09,2024-01-12 14:41:21,0,100,371,1,2024-01-12 14:41:21,R_7ibvp3Z4fWdgpkU,anonymous,EN,2,65a149eba1df94188d795752,1,2,1,2,1,3,3,1,4,1,3,1,2,3,3,2,1,2,3,1,3,,2,16,3,4,1,1,4,3,3,4,2,4,1,1,1,3,1,1,2,4,3,1,1,1,3,4,2,2,,Discussed income inequality. Also discussed how income inequality changes due to location.,33,1,4,2,,0,2,,21,,,,,0,,
2024-01-12 14:33:02,2024-01-12 14:41:24,0,100,501,1,2024-01-12 14:41:25,R_3NCVr5psTpn3RLK,anonymous,EN,2,63209d3d38b5c490f3bccd01,1,1,2,3,2,2,3,4,3,3,4,2,3,4,3,4,1,2,3,1,3,"For older adults (ages 65+), there is not a significant racial disparity when measuring income. White Americans and black Americans earn similar amounts when their educational background is similar for this age group.",3,16,3,3,2,1,3,2,4,3,4,2,2,3,3,2,2,1,3,2,3,1,1,2,4,2,4,1,,,34,1,6,3,,0,1,,21,,,,,,1,
2024-01-12 14:42:01,2024-01-12 14:42:02,8,100,1,1,2024-01-12 14:42:03,R_7oV5D8ScFi9z1Bf,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:41:44,2024-01-12 14:44:15,0,100,150,1,2024-01-12 14:44:16,R_7gju3yrftcM6c9j,anonymous,EN,2,5f0a0df6490a690d6418913d,4,4,1,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,1,3,,2,14,2,1,1,1,1,1,4,1,3,1,4,4,3,1,1,1,3,1,3,4,4,1,6,6,7,7,Redlining has historically robbed Black Americans of equal income.,,22,1,5,3,,4,1,,21,,,,,,,2
2024-01-12 14:44:10,2024-01-12 14:44:20,0,100,9,1,2024-01-12 14:44:20,R_3E0QLG5Bi9HqZjU,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:36:51,2024-01-12 14:44:46,0,100,474,1,2024-01-12 14:44:46,R_3Orns4PHZNL0F0E,anonymous,EN,2,60b5f5b8d67817cddaf20eec,4,1,3,1,1,1,3,1,4,1,3,1,1,1,4,1,1,2,3,1,1,"Although there is still a slight income gap between White and Black Americans, this gap is rapidly closing. This is due to increased educational parity, as people in both groups with the same level of education are now making very similar average annual salaries.",4,16,5,1,1,1,3,1,4,1,3,1,1,3,4,1,1,1,3,1,3,4,1,3,6,7,6,6,,,25,1,6,4,progressive,0,2,,22,22,several years ago,at least 5 times,3,,1,
2024-01-12 14:37:53,2024-01-12 14:45:05,0,100,431,1,2024-01-12 14:45:06,R_3i0s6oSNNZ8SB8d,anonymous,EN,2,5fc27b5a13285c0008cc71ab,4,2,1,1,1,1,1,1,4,1,3,1,2,3,4,1,1,2,3,1,1,"White and black people over the age of 65 who have attended college have fairly equal incomes ($57k and $55k respectively).  However, for people who have less than a high school degree, average incomes of this age group tends to be $18k and $16k respectively.",2,16,3,2,1,1,1,1,4,1,3,2,1,4,1,1,1,1,2,2,4,4,1,1,6,7,5,6,,,64,1,5,2,,1,2,,21,,,,,,1,
2024-01-12 14:41:19,2024-01-12 14:45:31,0,100,252,1,2024-01-12 14:45:32,R_5Qa3O0NjgcvjG6y,anonymous,EN,2,60fcb608f2d286ef581a1711,4,3,1,1,1,1,3,2,3,2,3,1,3,3,3,2,3,2,3,1,2,,2,14,1,2,1,1,2,3,2,3,3,3,3,3,3,3,2,3,3,2,2,3,3,1,5,4,4,5,,"Inflation has gone up a lot in the past 30 years. Making a liveable income is difficult, in a large city or small town. ",24,1,5,2,,1,2,,21,,,,,0,,
2024-01-12 14:47:05,2024-01-12 14:47:10,0,100,4,1,2024-01-12 14:47:10,R_7q3lAk0sXpl6oXA,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:47:17,2024-01-12 14:47:24,0,100,7,1,2024-01-12 14:47:24,R_1GuXWQyvfDms9eK,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:43:28,2024-01-12 14:48:24,0,100,296,1,2024-01-12 14:48:25,R_5dshgw6jTrMBi3e,anonymous,EN,2,63d0af5d7dafc1dc61832e27,3,2,3,2,2,2,3,2,3,3,3,2,2,2,3,2,2,3,2,2,2,,2,14,2,2,2,2,3,2,3,3,2,2,2,3,2,3,2,3,2,2,3,3,1,3,6,4,6,6,Blacks and whites have a disparity in wealth/value based on savings and home equity.,,57,1,5,3,,1,2,,21,,,,,,,2
2024-01-12 14:48:34,2024-01-12 14:48:37,8,100,2,1,2024-01-12 14:48:38,R_1H9ojy6UOVesiZj,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:48:52,2024-01-12 14:49:03,0,100,11,1,2024-01-12 14:49:04,R_5HtlXkECdASbCWl,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:44:05,2024-01-12 14:49:11,0,100,306,1,2024-01-12 14:49:12,R_6ESD9XFD21IUrH1,anonymous,EN,2,653d5950d575d918b1fa863e,4,2,1,4,2,3,4,3,3,4,4,4,2,4,3,3,2,3,3,4,4,,2,14,2,4,2,3,4,3,3,4,4,4,2,4,3,3,2,3,3,4,4,4,2,1,2,3,3,1,,Income equality results from growth in more urba;areas,51,1,6,2,,0,2,,22,22,A couple of years,5,3,0,,
2024-01-12 14:50:03,2024-01-12 14:50:09,0,100,5,1,2024-01-12 14:50:10,R_7U0Byk0Lvc2xxh7,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:44:35,2024-01-12 14:51:42,0,100,426,1,2024-01-12 14:51:43,R_3JCKYl5R03sbLHq,anonymous,EN,2,654aa7700874380f590caed8,2,5,1,3,1,1,4,3,3,1,3,1,3,3,3,3,3,3,3,1,3,It is comparing income between white and black Americans. It states that the income gap is smaller which implies that forcing equality is working.,1,15,1,3,1,1,3,3,3,1,3,1,3,3,3,1,3,3,3,1,3,3,5,1,1,7,1,1,,,42,1,3,4,libertarian ,3,1,,21,,,,,,1,
2024-01-12 14:45:02,2024-01-12 14:51:45,0,100,402,1,2024-01-12 14:51:45,R_6UWT4an9yxcS7dy,anonymous,EN,2,6505eb05db9c13dbcfabc967,4,1,5,3,1,1,3,3,3,4,3,4,2,2,3,4,2,3,3,4,4,,1,15,2,4,2,2,4,3,3,4,3,4,2,2,3,4,2,3,2,4,4,4,1,5,6,6,7,7,"Due historical practices of red lining, has created a income and generational gap between white and black neighborhoods, where educated white neighborhoods have $10-20,000+ wealthier than their purposefully held back black communities.",,41,1,5,5,,0,3,,21,,,,,,,2
2024-01-12 14:52:03,2024-01-12 14:52:06,8,100,2,1,2024-01-12 14:52:06,R_3Sq3RbKPuIV3bP8,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:43:17,2024-01-12 14:53:36,0,100,618,1,2024-01-12 14:53:37,R_5zNEUmg2XUZdQ3m,anonymous,EN,2,5db48b4d14dab8000de45fdf,4,4,1,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,1,4,That racial pay disparities have been greatly reduced. This is because of education and opportunities that minorities receive today.,4,17,5,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,1,4,4,4,1,4,3,3,3,,,47,1,2,2,,1,2,,22,22,1 week,20,4,,1,
2024-01-12 14:53:31,2024-01-12 14:53:37,8,100,5,1,2024-01-12 14:53:37,R_7hEX0em9b0IK0kd,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:49:56,2024-01-12 14:54:19,0,100,262,1,2024-01-12 14:54:20,R_1CEDJGtOMHdlJsN,anonymous,EN,2,6596bebc1f8287588f0ce2d9,4,2,1,2,1,1,3,3,3,2,3,2,2,2,3,2,2,2,3,2,2,,2,15,2,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,3,4,2,4,5,5,5,5,There is household equity disparity between blacks and whites at all educational levels.,,44,1,6,2,,3,2,,21,,,,,,,2
2024-01-12 14:49:01,2024-01-12 14:55:05,0,100,363,1,2024-01-12 14:55:05,R_16I2ng8MpVn9E2t,anonymous,EN,2,61030c1832cdefc11c8988f6,4,2,2,3,3,2,4,2,4,3,3,3,2,3,3,2,2,4,3,2,3,,3,16,2,3,2,3,4,2,3,3,3,3,2,3,3,2,2,4,3,2,3,4,2,2,4,3,5,5,,"Despite the large wealth disparity in the US between metropolitan and rural areas, government funding is being allocated to improve infrastructure in rural areas. However, urban areas do have a higher income even with higher living costs.   ",24,1,5,2,,2,2,,21,,,,,0,,
2024-01-12 14:47:59,2024-01-12 14:55:54,0,100,475,1,2024-01-12 14:55:55,R_62r0v3EXETvxGI0,anonymous,EN,2,5fb8c064339ea562edc00d73,4,2,3,1,1,1,1,1,4,1,4,1,3,4,4,1,1,1,4,1,4,It is said older adults who have gone to college make significantly more than those who didn't graduate high school. The wage rates between different races is also very similar and is believed education is key to higher and more equal pay between adults above 65 from different races,4,17,5,1,1,1,1,1,4,1,4,1,3,4,4,1,1,1,4,1,4,5,2,2,6,5,6,6,,,32,1,2,2,,3,2,,21,,,,,,1,
2024-01-12 14:49:02,2024-01-12 14:55:56,0,100,414,1,2024-01-12 14:55:57,R_6cd28Kb7iXCRX28,anonymous,EN,2,65835b4f5c14a257e1e1f4a1,4,3,1,3,1,1,3,1,3,1,3,1,2,4,2,3,1,3,1,1,3,The article says that education helps increase the amount earned and that the income gap between white and black men is about $2000 difference.  It is saying that the difference is $2000 in both educated and non college graduates but having education will on average earn you a lot more money.,2,16,3,3,1,1,3,1,3,1,3,1,1,3,1,3,1,3,1,1,3,4,3,1,2,2,4,2,,,36,1,3,2,,0,1,,21,,,,,,1,
2024-01-12 14:50:01,2024-01-12 14:56:01,0,100,359,1,2024-01-12 14:56:02,R_7xyCjR91j0laEUh,anonymous,EN,2,61699140a87c73f10eb7853a,3,4,1,1,1,1,4,1,4,1,3,1,1,1,4,1,1,3,3,1,3,,3,15,3,1,1,1,4,1,4,1,3,1,1,3,4,1,1,3,3,1,3,3,4,1,4,4,2,1,,"Typically, urban areas tend to have a higher gross salary income than rural areas.  Adjustments to the GDP are higher for wealthier areas, that have grown more less wealthy or poorer areas of the country.",49,1,5,3,,6,1,,21,,,,,0,,
2024-01-12 14:50:59,2024-01-12 14:56:02,0,100,303,1,2024-01-12 14:56:03,R_5WRkT2uiumhZe9P,anonymous,EN,2,63bdca370b6ae7fa1786ce11,1,2,2,3,4,4,4,3,2,3,3,3,2,4,3,4,3,2,2,2,3,,1,13,1,3,4,4,4,3,2,3,4,3,2,3,2,3,3,2,2,2,3,1,2,2,7,7,7,7,"White people are still practicing systemic racism. And even though the numbers are right there, it is still being ignored because systemic racism is not going away anytime soon.",,52,1,4,2,,1,1,,21,,,,,,,2
2024-01-12 14:45:50,2024-01-12 14:56:18,0,100,628,1,2024-01-12 14:56:19,R_3oXWHubHAqGqvCx,anonymous,EN,2,5f75fe812fefba02d15300c4,3,1,5,2,1,1,3,2,3,2,3,1,2,3,3,2,1,3,3,2,3,,2,15,2,2,2,2,3,3,2,2,3,2,2,3,2,3,2,3,2,2,3,3,1,5,3,3,3,3,,"Cost of living disparities are mostly the result of higher income areas growing as opposed to low income areas falling behind.  Also, the cost of living is just as important as overall income when evaluating a person's overall economic standing. ",42,1,5,2,,0,2,,21,,,,,0,,
2024-01-12 14:57:05,2024-01-12 14:57:07,0,100,2,1,2024-01-12 14:57:08,R_6GvTuDEAlL6hp3f,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:48:24,2024-01-12 14:58:09,0,100,584,1,2024-01-12 14:58:09,R_5DAzTkESV6JQyUF,anonymous,EN,2,653177c02de58f0b5da387a9,4,5,1,1,1,1,3,3,3,1,3,1,4,2,3,1,1,1,3,1,4,,2,14,3,2,1,1,1,1,3,1,3,2,3,3,3,3,1,1,3,1,1,4,4,1,4,3,4,4,"The Kaiser Family Foundation (KFF) study reveals a significant wealth gap between White and Black Americans, particularly in savings and home equity, which can be attributed to historical factors such as redlining and discriminatory lending practices, highlighting the need for immediate action to address systemic disparities.",,50,1,4,1,,5,1,,21,,,,,,,2
